dept,division,code,name,prof,time,category,credit,l_time,note00,note01,note02,note03,note04,count,avg_score_overall,avg_score_difficulty,avg_score_grade,avg_score_study,avg_score_achievement,avg_score_attendance
전공기반,전공,HAN2020,한문입문1,김경천,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,HAN3001,문학이론강독,장영희,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,HAN3003,한자의역사,허철,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,HAN3006,한문소설,장영희,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,HAN3010,한문학습지도1,조창록,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,HAN3021,한국한시특강,이현일,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,DKL3007,고전시가론,정인숙,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,HAN2005,경전강독1,김경천,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,HAN2006,한문학개론,손혜리,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,HAN2007,한국역사서선독,최원경,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,HAN3005,한국한문학사1,김영주,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,HAN3007,한문교육론,김병건,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,HAN3011,한문학비평,최식,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,HAN3014,나려산문,김동석,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,HAN3015,경서특강,함영대,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,MAE2001,대수학,임수봉,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,MAE2007,해석학1,좌준수,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,MAE2010,미분방정식,정희선,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,MAE2020,학교수학교재연구,신은주,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,MAE2021,응용수학개론,정희선,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,MAE2025,금융수학개론,윤상운,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,MAE3002,미분기하학1,정희선,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,MAE3003,위상수학1,정희선,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,MAE3004,추상대수학1,천상민,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,MAE3005,확률통계학1,조미정,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,MAE3006,복소함수론2,좌준수,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,MAE3011,수학적문제해결,이장주,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,MAE3012,대수학특강,천상민,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,MAE3013,실해석학,정희선,,,3,3,,1,,,,0,0,0,0,0,0,0
전공(대학원),전공,MTH4029,보험수학,최봉대,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,COM2004,Unix입문,송정준,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,COM2008,객체지향프로그래밍,엠디지아우딘,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,COM2012,자료구조,한옥영,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,COM2013,인터넷윤리,권정인,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,COM2014,Social Learning과 인터넷,이두형,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,COM3002,데이터통신기술,안성진,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,COM3003,데이타베이스,김재현,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,COM3004,컴퓨터구조,한옥영,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,COM3008,프로그래밍언어론,김재현,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,COM3011,컴파일러,엠디지아우딘,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,COM3012,교육용소프트웨어개발,신승용,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,COM3013,컴퓨터그래픽스,엠디지아우딘,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,COM3017,객체지향소프트웨어개발,서정훈,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,COM3019,네트워크운영관리,안성진,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,COM3025,u-Learning의이해,유상미,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,LIS3018,인터넷서비스구축론,조명대,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,PAD2001,정책학원론,권기헌,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,PAD2004,행정과경제1:미시경제론,문상호,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,PAD2007,재무행정론,박재완,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,PAD2008,지방행정론,정문기,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,PAD2012,행정법총론,강현호,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,PAD2013,공공조직관리론,박현신,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,PAD2018,행정학개론,공동성,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,PAD2018,행정학개론,이명석,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,PAD2019,전략적기획과성과관리,김진영,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,USS2001,사회과학조사방법론,권향원,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,USS2002,통계분석원론,장승민,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,GLD3010,글로벌거버넌스와국제기구,이숙종,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,PAD3003,한국정부론,현경병,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,PAD3008,정책평가론,주희진,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,PAD3012,리더십론,오선영,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,PAD3013,정보사회와정보정책론,김성태,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,PAD3017,여성과국정관리,조민효,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,PAD3026,행정학연습1,조민효,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,USS2001,사회과학조사방법론,김지범,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,GLD3011,인적자원관리의이해,하민지,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,LAW3008,경제법,정호열,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,ECO2004,거시경제학,이준상,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,ECO2004,거시경제학,장선구,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,PSD2002,비교정치론,마인섭,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,PSD2007,정치이데올로기론,윤비,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,PSD2022,국제정치론,김성주,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,PSD2024,국제관계사,김성주,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,PSD3037,현대정치경제론,이형석,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,PSD3003,중국정치론,이희옥,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,PSD3008,정치발전론,이국영,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,PSD3029,비교사회주의체제론,황규성,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,PSD3030,정치철학,김동일,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,PSD2017,정치학과통계,조원빈,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,PSD3005,서구정치사상사1,윤비,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,PSD3032,정치제도론,조원빈,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,PSD3036,남북한관계론,김태효,,,3,3,,1,,,,0,0,0,0,0,0,0
전공(대학원),전공,ERP4001,창의심화탐구,박준용,,,3,3,,1,,,,0,0,0,0,0,0,0
전공(대학원),전공,ERP4001,창의심화탐구,엄용수,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,MCJ2003,매스커뮤니케이션개론,이효성,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,MCJ2011,PR의이해,박현순,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,MCJ2027,Professional Presentation,제즈리얼강그래함,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,MCJ2030,언론실무교육,신성호,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,MCJ2031,미디어경제의이해,장병희,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,MCJ3032,커뮤니케이션이론,권상희,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,MCJ3019,미디어스포츠론,송해룡,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,MCJ3019,미디어스포츠론,김원제,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,MCJ3022,패러다임전환론,김정탁,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,MCJ3024,매체기호학,백선기,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,MCJ3031,평판커뮤니케이션의이해,한은경,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,MCJ3052,뉴미디어와시민사회,금희조,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,MCJ3057,Introduction to Media Psychology,정성은,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,MCJ3059,Journalism Theory,김민하,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,COV3002,유비쿼터스사회와소통능력,송해룡,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,SOC2001,사회학이론,차종천,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,SOC2002,사회계층론,차종천,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,SOC2006,일탈과범죄,박형민,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,SOC2009,인구와사회,이성용,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,SOC2010,사회운동론,최재훈,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,SOC2011,종교사회학,김봉석,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,SOC2012,사회화및인성론,박효민,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,SOC3004,성의사회학,최문희,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,SOC3008,발전사회학,장상철,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,SOC3010,지역사회학,고성호,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,SOC3014,과학사회학,김연철,,,3,3,,1,,,,0,0,0,0,0,0,0
전공(대학원),전공,SOC4007,개발사회학,구정우,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,SOC2013,산업사회학,박명준,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,SOC3016,조직사회학,유홍준,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,ECO2003,미시경제학,김용관,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,ECO2003,미시경제학,김일중,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,ECO2003,미시경제학,정원석,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,PSY2004,현대사회심리,권영미,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,SWF2003,사회복지정책론,홍세영,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,SWF2004,사회복지실천론,박미정,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,SWF2007,지역사회복지론,한창근,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,SWF2012,장애인복지론,김정우,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,SWF2013,여성복지론,유항희,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,SWF2014,가족복지론,이현주,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,SWF3007,자원봉사론,임해영,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,SWF3013,사회복지특강,오단이,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,SWF2001,사회복지학개론,홍경준,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,SWF3001,복지국가론,김승연,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,SWF3010,프로그램개발과평가,김통원,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,SWF2009,아동복지론,김기현,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,SWF3020,사회복지현장실습1,김기현,,,3,3,,1,,,,0,0,0,0,0,0,0
전공(대학원),전공,SWF5003,인간행동과사회환경연구,이혁구,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,SWF2006,사회복지행정론,김정우,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,SWF2016,사회복지윤리와철학,이혁구,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,PSY2001,인지심리,도경수,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,PSY2002,실험심리,도경수,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,PSY2005,산업심리,오선영,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,PSY3028,실험사회심리,노혜경,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,PSY3029,성격심리,김금미,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,KID3001,청소년심리학,한윤선,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,PSY3003,인지과학,박형생,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,PSY3007,소비자심리,차현나,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,PSY3008,지각심리,강민석,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,PSY3016,조직개발,서용원,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,PSY3020,건강심리,전겸구,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,PSY3030,이상심리,장혜인,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,PSY3001,인간의동기,용정순,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,PSY3005,심리검사및측정,최윤영,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,BIZ2022,회계원리,김학운,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,BUS2001,경영학원론,김종욱,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,BIZ2022,회계원리,이효익,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,BIZ2022,회계원리,문해원,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,BIZ2022,회계원리,이종은,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,BIZ2022,회계원리,이용규,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,BIZ2022,회계원리,최영수,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,BIZ2022,회계원리,김보영,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,BIZ2022,회계원리,박영진,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,BUS2001,경영학원론,김태웅,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,BUS2001,경영학원론,이건창,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,GLD2001,언어논리,홍지호,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,GLD2003,헌법의이해,김일환,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,GLD2007,행정학의이해,박형준,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,GLD2013,조직과인간관계의이해,박성민,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,STA2011,통계학원론,김동욱,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,STA2011,통계학원론,남진현,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,GLD3012,창작과지적재산권,김현경,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,GLD2005,행정법의이해,황창근,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,GLD2010,거시경제학의이해,정지운,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,GLD2011,정치학의이해,조원빈,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,GLD3003,채권과법,임건면,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,GLD3005,재정학의이해,정지운,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,BUS2001,경영학원론,레이먼드에이블린,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,GLD2007,행정학의이해,유민봉,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,CFS2003,사랑과결혼,양다진,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,CFS2005,한국가족론,조희선,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,CFS2024,소비자가족양적방법,이성림,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,CFS2042,소비철학,김기옥,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,CFS2050,소비경제론,이성림,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,CFS2013,상담이론,이진희,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,CFS2014,심리측정및평가,남영주,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,CFS2026,소비자유형분석론,조희경,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,CFS2045,글로벌소비자정책,박근주,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,CFS3044,재무설계실무,김민정,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,CFS3047,여가관리론,한상금,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,CFS3054,소비자시장분석연습,정재은,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,CFS3056,중노년기발달과가족,최희정,,,3,3,,1,,,,0,0,0,0,0,0,0
전공(대학원),전공,COV4005,인간내면중점기반융합디자인,김용세,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,KID2003,유아교육론,성지현,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,KID2005,특수아교육론,이양희,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,KID2007,아동관찰및행동연구,이미나,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,KID3009,부모교육론,백지희,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,KID3012,유아교육과정,성지현,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,KID3019,유아음악교육,염현경,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,KID3020,유아문학교육,현은자,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,KID3033,창의성발달과교육,표정민,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,KID3035,아동심리측정,한윤선,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,KID3061,아동청소년상담,이정미,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,KID2017,아동발달,송하나,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,KID3062,인지·사회정서발달,송하나,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,EBM2019,응용통계학,최창현,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,FBT2009,식품공학,전태욱,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,FBT2020,유기화학,정우재,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,FBT2024,영양생리학,김미자,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,FBT2029,일반미생물학,윤정훈,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,FBT2032,식품생화학2,박계원,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,FBT2036,식품생명공학개론,이재환,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,FBT3056,식품생명공학현장실습2A,이재환,,,3,0,,1,,,,0,0,0,0,0,0,0
전공기반,전공,FBT3067,식품분석학,이재환,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,GEN2060,유전공학입문,조재열,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,FBT2011,식품미생물학,강석성,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,FBT3004,기능성식품학,양희진,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,FBT3016,식품마케팅학,김상영,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,FBT3018,식품첨가물학,박기문,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,FBT3044,식품가공학2,정승현,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,FBT3048,식품저장학,정도원,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,FBT3057,식품생명공학현장실습2B,이재환,,,3,0,,1,,,,0,0,0,0,0,0,0
실험실습,전공,FBT2012,식품미생물학실험,윤정훈,,,2,3,,1,,,,0,0,0,0,0,0,0
실험실습,전공,FBT2034,식품공학및저장학실험,박기문,,,2,3,,1,,,,0,0,0,0,0,0,0
전공(대학원),전공,BIT4003,생명산업기계학특론,이규승,,,3,3,,1,,,,0,0,0,0,0,0,0
전공(대학원),전공,BIT4007,고급분자생물학,김유찬,,,3,3,,1,,,,0,0,0,0,0,0,0
전공(대학원),전공,BIT4011,식품분석법특론,이재환,,,3,3,,1,,,,0,0,0,0,0,0,0
전공(대학원),전공,BIT4023,고급미생물학,권석태,,,3,3,,1,,,,0,0,0,0,0,0,0
전공(대학원),전공,TRP7001,팀연구프로젝트1,김지만,,,3,3,,1,,,,0,0,0,0,0,0,0
전공(대학원),전공,TRP7001,팀연구프로젝트1,김길호,,,3,3,,1,,,,0,0,0,0,0,0,0
전공(대학원),전공,TRP7001,팀연구프로젝트1,김용상,,,3,3,,1,,,,0,0,0,0,0,0,0
전공(대학원),전공,TRP7001,팀연구프로젝트1,채희엽,,,3,3,,1,,,,0,0,0,0,0,0,0
전공(대학원),전공,TRP7001,팀연구프로젝트1,엄숭호,,,3,3,,1,,,,0,0,0,0,0,0,0
전공(대학원),전공,TRP7001,팀연구프로젝트1,김근형,,,3,3,,1,,,,0,0,0,0,0,0,0
전공(대학원),전공,TRP7001,팀연구프로젝트1,박성수,,,3,3,,1,,,,0,0,0,0,0,0,0
전공(대학원),전공,TRP7001,팀연구프로젝트1,정찬화,,,3,3,,1,,,,0,0,0,0,0,0,0
전공(대학원),전공,TRP7001,팀연구프로젝트1,박재형,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,EBM2001,기초역학,이규승,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,EBM2004,바이오전기전자공학,최창현,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,EBM2006,응용유체기계학,민병로,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,EBM2007,응용재료역학,황헌,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,EBM2017,컴퓨터응용제도,이대원,,,2,2,,1,,,,0,0,0,0,0,0,0
전공기반,전공,EBM2023,응용컴퓨터프로그래밍,이대원,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,EBM2026,응용열역학,김근형,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,EBM3007,생체역학,문정환,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,EBM3017,바이오로봇공학,황헌,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,EBM3020,생체운동학,심태용,,,3,3,,1,,,,0,0,0,0,0,0,0
